Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,OK,2022,12,Female,17,Right-Handed,167,21,160,1,Car,7,0.513,51,Running/Jogging,10,750,500,500,1000,1000,21,Same length,21,21,Same length,August,Fall,No,No,Rice/Noodle dishes,Water,Other,10,10,9,Yes - other,Internet chat or instant messaging,20,20,12,1,15,5,12,0,20,5,5,10,20,3,Very little,Undergraduate degree,Pop,Fly,Healthy,Sports person,International aid
USA,OK,2022,12,Male,16,Right-Handed,177,25,152,1,Car,5,0.47,40,Golf,500,500,500,500,200,500,25,Same length,70,75,Ring finger,March,Fall,Yes,No,Meat,Soft drink (caffeinated),Physical education,7,5,6,Yes - other,"Myspace, Facebook, other social networking sites, or blog",300,300,25,40,5,20,20,2,10,15,2,5,15,4,Some,Graduate degree,Country,Invisibility,Famous,Relative,Other
USA,OK,2022,12,Male,17,Right-Handed,175.2,26,178,1,Car,5,0.316,79,Soccer,400,300,250,500,300,400,25,Right foot,95,100,Ring finger,February,Fall,No,No,Meat,Soft drink (non-caffeinated),Physical education,7,9,5,Yes - other,Text messaging,15,17,6,8,3,4,15,6,10,3,10,3,0,0,Some,Graduate degree,Country,Super strength,Healthy,Religious figure,Religious
USA,OK,2022,12,Male,18,Left-Handed,165,17,172,2,Bus,5,0.264,45,Baseball/Softball,380,497,1000,626,326,513,17,Same length,70,70,Same length,July,Winter,Yes,No,Meat,Water,History,5,4,9,Yes - broadband connection,Text messaging,40,60,12,1,3,2,2,12,4,2,12,2,10,2,Some,Some college,Rhythm and blues (R&B),Freeze time,Rich,Other,"Wildlife, animals"
USA,OK,2022,12,Female,17,Left-Handed,163,23,150,1,Car,8,0.402,50,None,1000,1000,1000,500,250,500,23,Same length,70,70,Same length,April,Fall,No,No,Meat,Water,Other,7,9,2,Yes - broadband connection,Text messaging,30,30,6,6,2,3,10,0,4,4,4,2,4,5,A lot,Graduate degree,Country,Fly,Rich,Relative,"Wildlife, animals"
USA,OK,2022,12,Male,17,Right-Handed,175.2,24,176,1,Car,3,0.376,53,Soccer,882,882,1000,445,155,176,20,Same length,60,70,Ring finger,November,Fall,No,No,Meat,Soft drink (caffeinated),History,8,9,4,Yes - other,Cell phone,250,300,20,1,0,5,5,1,4,1,1,6,36,1,Some,Graduate degree,Country,Fly,Rich,Business person,"Wildlife, animals"
USA,OK,2022,12,Male,17,Right-Handed,180,25,180,1,Car,10,0.338,39,Golf,305,820,730,895,150,400,26,Left foot,80,80,Same length,April,Fall,Yes,No,Pizza/Pasta,Tea,Geography,7,9,6,Yes - broadband connection,Text messaging,200,200,20,0,20,10,20,5,50,10,50,7,8,2,Some,Graduate degree,Rock and roll,Invisibility,Happy,Sports person,Education/Youth development
USA,OK,2022,12,Female,17,Right-Handed,160,25,165,1,Car,5,0.372,53,Skateboarding/Rollerblading,90,90,90,90,78,23,25,Same length,10,10,Same length,March,Fall,Yes,No,Poultry,Other,Social studies,7,5,4,Yes - broadband connection,Cell phone,120,145,3,1,6,7,6,2,16,30,45,23,0,6,A lot,Graduate degree,Pop,Telepathy,Rich,Actor,Health
USA,OK,2022,12,Male,16,Right-Handed,169,21,174,1,Car,15,0.4,31,Golf,455,396,594,353,171,150,21,Right foot,65,60,Index finger,March,Winter,Yes,No,Meat,Sports drink,Other,8,5,6,Yes - other,Cell phone,25,27,35,1,2,40,15,1,0,50,35,4,13,10,Some,High school,Country,Super strength,Rich,Relative,"Wildlife, animals"
USA,OK,2022,12,Male,17,Right-Handed,183,30,180,1,Car,15,0.306,36,Golf,952,155,342,711,134,337,30,Same length,80,85,Ring finger,August,Fall,No,No,Fruit,Water,Computers and technology,6,10,3,Yes - broadband connection,Cell phone,2,6,15,1,2,25,16,4,2,2,1,21,0,30,A lot,High school,Rock and roll,Freeze time,Rich,Business person,"Wildlife, animals"
