Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,MA,2020,12,Female,17,Right-Handed,170.18,24.1,170,2,Car,6,4.7,70,Lacrosse,100,300,400,200,700,700,24.1,Same length,150,170,Ring finger,April,Summer,No,No,Pizza/Pasta,Water,History,7,9,3,Yes - broadband connection,Text messaging,100,150,10,1,4,3,3,8,7,5,10,3,9,2,Some,Undergraduate degree,Techno/Electronic,Invisibility,Healthy,Relative,Health
USA,MA,2020,11,Female,16,Right-Handed,167,23,168,3,Car,10,0.354,38,Other,500,600,800,800,250,350,25.4,Left foot,90,100,Ring finger,October,Fall,No,No,No favorite,Water,Science,7,10,6,Yes - other,Text messaging,100,250,0,30,35,10,25,0,7,15,18,3,0,10,A lot,Graduate degree,Pop,Freeze time,Healthy,Doctor or nurse,Environment
USA,MA,2020,12,Male,17,Right-Handed,175,25,178,2,Car,45,0.318,33,Other,727,481,225,321,898,1000,25,Same length,76,88,Ring finger,January,Winter,No,No,Meat,Water,Science,6,10,6,Yes - broadband connection,Internet chat or instant messaging,2,1,3,35,14,14,0,35,7,5,168,20,20,1,A lot,Graduate degree,Other,Freeze time,Rich,Other,Environment
USA,MA,2020,5,Male,11,Right-Handed,137,22,133,1,Car,15,3.7,47,Hockey (Ice),1000,1000,1000,1000,1000,1000,23,Same length,70,65,Index finger,February,Winter,Yes,No,Vegetables,Tea,Mathematics and statistics,10,10,4,Yes - other,Cell phone,2,3,3,1,5,10,4,2,1,2,2,2,0,2,None,Graduate degree,Other,Freeze time,Healthy,Relative,Other
USA,MA,2020,12,Female,17,Right-Handed,163,23,159,1,Car,13,0.338,48,Other,600,700,500,400,200,700,22,Right foot,90,95,Ring finger,October,Fall,Yes,No,No favorite,Water,English,7,9,3,Yes - broadband connection,Cell phone,15,20,10,2,2,3,3,5,15,6,40,20,3,8,Some,Graduate degree,Rap/Hip hop,Fly,Happy,Community leader or elder,Education/Youth development
USA,MA,2020,7,Female,13,Right-Handed,154.9,20,150.3,1,Car,10,0.46,68,None,1000,802,658,738,519,866,40,Left foot,76.2,76.5,Ring finger,April,Fall,No,No,Desserts,Sports drink,Science,6,7,4,Yes - other,Text messaging,3,6,0,72,3,1,0,1,92,2,100,6,0,1,A lot,Other,Other,Super strength,Rich,Politician,Other
USA,MA,2020,8,Male,14,Left-Handed,162.56,22.86,155,1,Car,10,0.38,44,Soccer,100,150,200,300,500,500,9,Same length,80,74,Same length,July,Summer,Yes,No,Meat,Water,History,9,11,5,Yes - broadband connection,Cell phone,45,45,0,4,10,0,5,8,0,9,7,14,0,0,Some,Graduate degree,Other,Fly,Rich,Community leader or elder,Health
USA,MA,2020,5,Male,11,Left-Handed,161,26,161,1,Car,3,0.54,32,Baseball/Softball,1000,900,800,1000,999,700,26,Same length,38,43,Ring finger,February,Spring,No,No,Desserts,Water,Physical education,10,11,4,Yes - other,Text messaging,8,7,1,1,6,8,10,7,3,1,7,1,0,11,A lot,Some college,Pop,Freeze time,Rich,Sports person,Health
USA,MA,2020,12,Male,17,Right-Handed,170,20,155,2,Car,17,0.314,34,Soccer,920,898,952,930,1000,1000,20,Same length,80,80,Same length,July,Summer,Yes,No,Other,Water,Physical education,7,9,4,Yes - other,Internet chat or instant messaging,150,200,18,5,5,2,4,3,7,10,5,7,22,4,A lot,Undergraduate degree,Pop,Invisibility,Rich,Sports person,Health
USA,MA,2020,6,Male,12,Right-Handed,124.2,23,120,1,Car,10,0.455,45,Baseball/Softball,503,888,642,743,675,914,23,Same length,70,67,Index finger,November,Summer,No,No,No favorite,Other,Physical education,10,11,4,Yes - other,Internet chat or instant messaging,0,0,10,1,8,13,15,4,0,2,2,12,0,1,Very little,Graduate degree,Country,Super strength,Rich,Coach or club leader,"Wildlife, animals"
USA,MA,2020,12,Male,17,Right-Handed,188,30,203,1,Car,35,0.281,42,Basketball,193,706,433,305,1000,1000,30,Same length,110,90,Index finger,August,Spring,No,No,Meat,Milk,Science,6,8,5,Yes - broadband connection,Text messaging,7,11,0,3,15,0,15,10,0,10,50,0,0,0,A lot,Graduate degree,Rap/Hip hop,Freeze time,Happy,Other,International aid
USA,MA,2020,11,Male,16,Right-Handed,159,25,171,1,Walk,25,0.307,27,Walking/Hiking,500,700,200,100,900,950,26,Left foot,91,100,Ring finger,November,Winter,No,No,No favorite,Water,Mathematics and statistics,5,12,2,Yes - broadband connection,In person,2,1,4,0,12,1,0,2,0,1,20,1,0,1,A lot,Undergraduate degree,Classical,Freeze time,Happy,Friend,Health
USA,MA,2020,7,Male,12,Right-Handed,139,16,137,1,Car,12,0.327,63,Hockey (Ice),1000,1000,1000,1000,1000,1000,15,Right foot,98,101,Ring finger,July,Summer,Yes,No,Pizza/Pasta,Water,Physical education,8,10,4,Yes - broadband connection,Text messaging,14,15,5,0,35,15,7,29,50,5,60,55,0,3,Some,Some college,Rock and roll,Freeze time,Rich,Sports person,Health
USA,MA,2020,7,Male,12,Right-Handed,179.9,25.4,179,1,Car,30,0.401,45,Basketball,300,320,400,600,1000,1000,25.4,Same length,90,35,Ring finger,May,Summer,No,No,Meat,Soft drink (caffeinated),Physical education,7,9,4,Yes - broadband connection,Text messaging,3,25,11,1,7,9,12,3,12,10,3,1,20,2,A lot,Graduate degree,Rap/Hip hop,Fly,Happy,Sports person,"Arts, culture, sports"
USA,MA,2020,12,Male,17,Right-Handed,167.6,26.67,175.2,2,Rail (Train/Tram/Subway),45,0.313,30,Running/Jogging,866,749,679,807,1000,840,26.67,Same length,76.2,76,Index finger,October,Fall,Yes,No,Poultry,Water,Science,6,9,7,Yes - broadband connection,Text messaging,150,200,18,5,5,2,4,3,7,10,5,7,22,4,Some,Other,Pop,Telepathy,Rich,Other,Education/Youth development
USA,MA,2020,12,Male,17,Right-Handed,182,24,167,2,Car,35,0.327,22,Football (American),350,350,700,500,1000,1000,24,Same length,8.6,6.8,Index finger,November,Summer,No,No,Meat,Water,Computers and technology,5,8,3,Yes - broadband connection,In person,0,0,20,0,0,15,10,30,0,0,20,1,0,7,Some,Graduate degree,Rap/Hip hop,Fly,Happy,Sports person,"Arts, culture, sports"
USA,MA,2020,12,Female,17,Right-Handed,160,22,156,1,Car,30,0.414,37,Other,1000,963,786,1000,412,1000,23,Left foot,90,80,Index finger,October,Summer,No,No,Pizza/Pasta,Tea,Science,7,9,2,Yes - broadband connection,Text messaging,11,25,5,1,30,8,1,1,2,3,5,6,0,3,A lot,Undergraduate degree,Other,Super strength,Healthy,Politician,"Wildlife, animals"
USA,MA,2020,12,Female,17,Right-Handed,162.6,26.5,176,3,Car,7,0.321,41,Other,500,400,400,500,500,600,26.5,Same length,82,82,Same length,October,Fall,Yes,Yes,Pizza/Pasta,Coffee,Music,9,12,3,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",542,533,5,2,5,28,3,5,49,40,49,14,0,4,None,Graduate degree,Rap/Hip hop,Telepathy,Famous,Other,Health
USA,MA,2020,8,Male,14,Right-Handed,165,24,164,1,Car,4,0.4,42,Running/Jogging,348,936,278,310,925,818,23,Right foot,63,57,Index finger,January,Summer,No,No,Meat,Water,Physical education,7.5,8.5,4,Yes - broadband connection,Text messaging,4,4,5,1,15,21,11,42,1,5,14,28,0,4,Some,Some college,Rock and roll,Fly,Rich,Relative,Health
USA,MA,2020,12,Male,18,Left-Handed,187.96,25,187.96,1,Walk,9,0.297,34,Other,650,750,450,750,1000,1000,24,Right foot,87,80,Index finger,February,Summer,No,No,Meat,Water,History,6,8,3,Yes - broadband connection,Text messaging,200,500,15,0,12,1,16,16,20,4,40,5,0,6,A lot,Undergraduate degree,Rap/Hip hop,Fly,Rich,Relative,Environment
USA,MA,2020,11,Female,18,Right-Handed,161,24.5,169.5,3,Bus,20,0.152,42,Running/Jogging,1000,1000,1000,1000,900,1000,24,Left foot,95,95,Same length,March,Spring,No,Yes,Seafood,Coffee,Art,6,9,2,Yes - other,Internet chat or instant messaging,315,206,4,2,10,2,0,5,21,5,6,3,15,3,Some,Graduate degree,Rhythm and blues (R&B),Invisibility,Happy,Teacher,International aid
USA,MA,2020,7,Female,12,Right-Handed,157,24,158,1,Car,3,0.417,60,Basketball,950,950,950,950,650,850,24,Left foot,76,83,Ring finger,June,Summer,No,No,Meat,Water,Physical education,9,5,4,Yes - other,"Myspace, Facebook, other social networking sites, or blog",4,4,10,4,18,20,15,7,12,3,20,10,3,5,Some,Graduate degree,Country,Super strength,Happy,Doctor or nurse,"Wildlife, animals"
USA,MA,2020,8,Male,14,Right-Handed,173,22,150,1,Car,10,0.423,41,Gymnastics,1000,7000,7000,8000,4000,4000,24,Left foot,70,80,Ring finger,January,Summer,No,No,Poultry,Water,Science,9,10,2,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",10,10,3,1,9,8,23,2,3,2,12,2,0,2,Some,Graduate degree,Pop,Fly,Happy,Relative,Health
USA,MA,2020,6,Female,12,Ambidextrous,157.48,29,137,2,Car,10,0.448,39,Soccer,700,650,500,500,10,18,24,Right foot,72,71,Index finger,January,Summer,Yes,No,Seafood,Sports drink,Science,8,11,6,Yes - dial-up connection,Cell phone,37,49,4,4,4,6,8,2,0,4,8,3,0,2,A lot,Other,Rap/Hip hop,Invisibility,Famous,Other,"Wildlife, animals"
USA,MA,2020,12,Female,17,Left-Handed,168,24,164,1,Car,10,0.483,35,Running/Jogging,200,200,200,200,1000,1000,24,Same length,65,77,Ring finger,June,Fall,No,No,Pizza/Pasta,Water,Computers and technology,8,9,7,Yes - broadband connection,Text messaging,20,40,4,0,14,20,12,0,4,10,70,0,0,7,Some,Undergraduate degree,Rap/Hip hop,Invisibility,Happy,Relative,Religious
USA,MA,2020,7,Male,13,Right-Handed,172,23,170,1,Bus,20,0.948,49,Baseball/Softball,1000,1000,500,700,600,1000,23,Same length,76,76,Same length,November,Winter,No,No,No favorite,Water,History,8,7,3,Yes - other,Text messaging,7,8,0,0,15,20,0,60,20,3,9,20,0,15,None,Graduate degree,Rock and roll,Freeze time,Happy,Other,Other
USA,MA,2020,7,Female,13,Right-Handed,162,25,154,1,Bus,12,0.987,52,Hockey (Field),1000,1000,1000,1000,742,738,25,Same length,100,70,Index finger,March,Summer,Yes,No,Meat,Water,Physical education,11,13,6,Yes - other,"Myspace, Facebook, other social networking sites, or blog",7,5,14,4,6,16,6,2,3,1,5,11,0,1,A lot,Graduate degree,Pop,Telepathy,Happy,Actor,Other
USA,MA,2020,12,Male,18,Right-Handed,182.8,30.48,152.4,3,Rail (Train/Tram/Subway),45,0.221,31,None,500,500,500,500,500,1000,15,Same length,101.6,101.6,Same length,July,Summer,No,No,Pizza/Pasta,Water,Science,7,7,6,Yes - broadband connection,Cell phone,100,50,0,20,5,5,10,10,3,4,10,0,20,2,Very little,Less than high school,Other,Super strength,Rich,Other,"Wildlife, animals"
USA,MA,2020,12,Male,18,Right-Handed,158,30,130,2,Bus,45,0.351,63,Basketball,866,877,888,904,888,898,30,Same length,50,47,Index finger,May,Winter,Yes,Yes,Meat,Water,History,8,5,5,Yes - other,Internet chat or instant messaging,9,45,0,1,3,1,2,5,4,1,6,0,0,0,Very little,Undergraduate degree,Rap/Hip hop,Super strength,Famous,Actor,Health
USA,MA,2020,12,Male,17,Right-Handed,183,15,180,1,Car,15,0.698,56,Hockey (Ice),888,500,1000,1000,8,999,13,Right foot,110,130,Ring finger,March,Winter,Yes,No,Pizza/Pasta,Tea,History,8,10,4,Yes - other,Text messaging,14,30,3,0,1,6,3,0,2,1,3,0,0,0,Some,Some college,Punk rock,Freeze time,Rich,Business person,Other
USA,MA,2020,12,Female,18,Right-Handed,173,25,124,2,Car,10,0.321,37,Soccer,1000,1000,1000,1000,300,400,26,Left foot,120,100,Ring finger,July,Fall,Yes,No,Poultry,Juice,English,7,10,3,Yes - broadband connection,Text messaging,30,40,12,5,8,3,0,0,14,6,9,9,0,3,Some,Graduate degree,Rap/Hip hop,Invisibility,Happy,Actor,"Wildlife, animals"
USA,MA,2020,12,Female,17,Right-Handed,160.02,24.6,158.4,2,Bus,25,0.224,62,Skateboarding/Rollerblading,1000,1000,1000,1000,100,1000,24.6,Same length,50,60,Same length,November,Fall,No,No,Pizza/Pasta,Water,Geography,6,8,2,Yes - other,Text messaging,50,10,0,50,5,0,0,0,100,0,100,0,0,0,A lot,Some college,Rhythm and blues (R&B),Fly,Happy,Other,Environment
USA,MA,2020,7,Female,12,Right-Handed,175,25,180,1,Walk,3,0.451,50,Hockey (Field),900,800,700,800,1,1,25,Same length,85,90,Ring finger,June,Summer,No,No,No favorite,Water,Science,8,10,4,Yes - broadband connection,Cell phone,20,20,12,15,15,5,7,4,6,6,18,9,0,2,A lot,Graduate degree,Other,Fly,Happy,Musician or singer,Health
USA,MA,2020,7,Male,13,Right-Handed,155,38,150,1,Walk,1,0.376,37,Soccer,900,750,800,700,300,600,38,Same length,70,120,Ring finger,April,Spring,No,No,Meat,Other,Physical education,8,6,5,Yes - broadband connection,Text messaging,35,50,0,10,20,10,5,30,0,3,30,8,0,3,A lot,Graduate degree,Rock and roll,Fly,Happy,Other,"Wildlife, animals"
USA,MA,2020,12,Male,17,Right-Handed,182,26,190,1,Car,15,0.338,56,Hockey (Ice),807,668,556,679,866,952,26,Left foot,340,350,Ring finger,May,Spring,Yes,No,Desserts,Water,Social studies,7,10,4,Yes - broadband connection,In person,47,56,4,1,5,10,6,5,5,5,5,4,0,1,Some,Graduate degree,Pop,Fly,Happy,Relative,"Wildlife, animals"
USA,MA,2020,12,Male,17,Left-Handed,167.6,25.4,171.4,1,Car,5,0.403,44,Dancing,503,513,390,540,241,203,25.2,Right foot,165.1,228.6,Index finger,March,Summer,No,No,Pizza/Pasta,Soft drink (caffeinated),Science,7,5,4,Yes - other,Text messaging,300,250,14,5,12,4,20,0,6,5,8,2,0,3,Some,Graduate degree,Pop,Telepathy,Famous,Relative,Health
USA,MA,2020,12,Female,17,Right-Handed,160,24,158,1,Car,12,0.385,34,Soccer,650,650,600,800,800,900,24,Same length,75,75,Same length,February,Summer,No,No,Pizza/Pasta,Water,Mathematics and statistics,8,9,3,Yes - broadband connection,Text messaging,150,200,10,4,20,15,6,1,15,25,35,10,0,4,A lot,Undergraduate degree,Pop,Telepathy,Happy,Teacher,Health
USA,MA,2020,8,Female,13,Right-Handed,157,22,152,2,Car,2,0.731,47,Basketball,1000,1000,500,500,100,1000,22,Same length,80,60,Index finger,June,Summer,No,No,Salads,Water,Social studies,4,3,5,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",50,70,0,60,10,48,25,3,84,55,84,20,0,8,A lot,Some college,Pop,Invisibility,Happy,Relative,Other
USA,MA,2020,6,Male,12,Right-Handed,168.9,25.4,160.2,1,Car,8,0.465,46,Basketball,663,545,364,759,294,262,25.9,Left foot,76.2,88.9,Ring finger,March,Summer,No,No,Meat,Water,Physical education,10,9.5,3,Yes - other,Text messaging,8,12,0,1,3,2,1,4,0,2,1,0,0,2,Very little,Graduate degree,Techno/Electronic,Super strength,Happy,Sports person,"Wildlife, animals"
USA,MA,2020,12,Male,17,Right-Handed,178,27,180,1,Car,30,0.3,57,Athletics,700,700,700,600,200,650,27,Same length,69,72,Ring finger,April,Summer,No,No,Meat,Water,Other,6,5,6,Yes - other,Text messaging,150,200,18,5,5,2,4,3,7,10,5,7,22,4,Some,Graduate degree,Rock and roll,Telepathy,Happy,Other,Education/Youth development
USA,MA,2020,12,Female,17,Left-Handed,162.6,26,160,1,Car,10,0.463,43,Other,500,25,400,500,1000,1000,27,Left foot,80,80,Same length,March,Summer,No,No,Pizza/Pasta,Milk,History,7,9,2,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",30,32,15,1,6,20,5,0,10,3,25,0,25,0,Some,Graduate degree,Country,Invisibility,Happy,Musician or singer,Health
USA,MA,2020,12,Male,18,Right-Handed,172,28,170,1,Car,15,0.419,46,Basketball,500,500,600,600,200,250,28,Same length,80,84,Index finger,December,Summer,No,No,Meat,Milk,Art,8.5,6.5,3,Yes - broadband connection,Text messaging,40,100,6,1,0,8,2,0,3,2,12,2,22,2,A lot,Undergraduate degree,Rock and roll,Fly,Happy,Relative,Health
USA,MA,2020,6,Female,12,Right-Handed,157,25,154,3,Car,5,0.392,41,Baseball/Softball,900,600,800,500,200,900,27,Left foot,75,70,Index finger,September,Fall,No,No,Rice/Noodle dishes,Soft drink (non-caffeinated),Other,9.5,10,5,Yes - broadband connection,Other,50,49,24,56,43,7,3,8,2,2,7,6,1,2,A lot,Other,Other,Super strength,Rich,Politician,Other
USA,MA,2020,5,Female,10,Right-Handed,145,21,143,1,Car,15,0.434,73,Gymnastics,900,900,1000,1000,500,1000,21,Same length,86,85,Index finger,October,Summer,No,No,Desserts,Milk,Physical education,8,11,5,Yes - broadband connection,Telephone,0,1,1,2,12,20,5,1,1,2,7,7,2,1,A lot,Undergraduate degree,Pop,Invisibility,Famous,Musician or singer,"Wildlife, animals"
USA,MA,2020,5,Female,11,Right-Handed,152.4,22.86,154.9,2,Car,15,0.586,35,Hockey (Field),999,999,100,888,999,1000,22.86,Same length,76.2,63.5,Index finger,May,Spring,No,No,Other,Water,Social studies,8,10,5,Yes - broadband connection,Internet chat or instant messaging,0,0,3,2,1,5,2,2,4,0,2,3,0,10,Very little,Graduate degree,Pop,Freeze time,Happy,Other,"Wildlife, animals"
USA,MA,2020,12,Male,17,Right-Handed,172,22,130,1,Walk,15,0.362,79,None,1000,1000,1000,1000,1000,1000,22,Same length,100,70,Index finger,October,Winter,Yes,No,Meat,Water,Science,9,7,1,Yes - broadband connection,Text messaging,56,62,0,20,77,0,0,60,0,40,49,20,0,30,None,Graduate degree,Other,Freeze time,Happy,Other,Other
